"","m_discharges2_lg","","m_discharges3_lg",""
"","b","t","b","t"
"hhi_hosp","-.9587412","-2.493138",".576929","1.496015"
"","m_discharges2_pr","","m_discharges3_pr",""
"","b","t","b","t"
"hhi_hosp","-.159812","-3.514304",".218069","3.341037"
"","m_mdc_1_2_lg","","m_mdc_1_3_lg",""
"","b","t","b","t"
"hhi_hosp","-.5885491","-1.958935",".1220116",".236603"
"","m_mdc_4_2_lg","","m_mdc_4_3_lg",""
"","b","t","b","t"
"hhi_hosp","-1.105104","-2.079","1.376252","3.07197"
"","m_mdc_5_2_lg","","m_mdc_5_3_lg",""
"","b","t","b","t"
"hhi_hosp","-.6290682","-1.42927",".3367235",".7171499"
"","m_mdc_6_2_lg","","m_mdc_6_3_lg",""
"","b","t","b","t"
"hhi_hosp","-.2362512","-.4897221",".512266","1.400449"
"","m_mdc_8_2_lg","","m_mdc_8_3_lg",""
"","b","t","b","t"
"hhi_hosp","-1.271106","-3.249493","-.6602746","-1.273642"
"","m_mdc_15_2_lg","","m_mdc_15_3_lg",""
"","b","t","b","t"
"hhi_hosp","-2.418786","-1.462459","-.9400915","-.5488195"
"","m_mdc_19_2_lg","","m_mdc_19_3_lg",""
"","b","t","b","t"
"hhi_hosp","-.3102938","-.3660483",".3637125",".3901931"
"","m_mdc_20_2_lg","","m_mdc_20_3_lg",""
"","b","t","b","t"
"hhi_hosp","-.6452448","-1.319378",".8548331","1.688708"
"","m_mdc_25_2_lg","","m_mdc_25_3_lg",""
"","b","t","b","t"
"hhi_hosp",".165859",".4214075",".9273501","2.060043"
"","m_mdc_1_2_pr","","m_mdc_1_3_pr",""
"","b","t","b","t"
"hhi_hosp","-.0670369","-1.495021",".0175161",".1789659"
"","m_mdc_4_2_pr","","m_mdc_4_3_pr",""
"","b","t","b","t"
"hhi_hosp","-.1345387","-3.425207",".2951795","4.157434"
"","m_mdc_5_2_pr","","m_mdc_5_3_pr",""
"","b","t","b","t"
"hhi_hosp","-.0606592","-1.624893",".124173","1.805745"
"","m_mdc_6_2_pr","","m_mdc_6_3_pr",""
"","b","t","b","t"
"hhi_hosp","-.0849669","-1.27022",".167599","1.932953"
"","m_mdc_8_2_pr","","m_mdc_8_3_pr",""
"","b","t","b","t"
"hhi_hosp","-.1215956","-2.736477",".0146096",".1739265"
"","m_mdc_15_2_pr","","m_mdc_15_3_pr",""
"","b","t","b","t"
"hhi_hosp","-.9071068","-4.097312",".812513","3.266062"
"","m_mdc_19_2_pr","","m_mdc_19_3_pr",""
"","b","t","b","t"
"hhi_hosp","-.1322519","-1.319422",".190385","1.151182"
"","m_mdc_20_2_pr","","m_mdc_20_3_pr",""
"","b","t","b","t"
"hhi_hosp","-.4692553","-3.004942",".0322049",".2353457"
"","m_mdc_25_2_pr","","m_mdc_25_3_pr",""
"","b","t","b","t"
"hhi_hosp",".1017991",".2932634",".5189995","1.512843"
